city,zip,county
Palomar Mountain,92060,San Diego
Adelanto,92886,San Bernardino
Biggs,95917,Butte
Lincoln Heights,90031,Los Angeles
Grand Terrace,92324,San Bernardino
Wildomar,92530,Riverside
Lytle Creek,92358,San Bernardino
Redwood Valley,95470,Mendocino
East Los Angeles,90063,Los Angeles
Bangor,95914,Butte
Sacramento,95841,Sacramento
Hidden Hills,91302,Los Angeles
Lower Lake,95457,Lake
Auberry,93602,Fresno
West Sacramento,95691,Yolo
Stanford,94305,Santa Clara
Wildomar,92584,Riverside
San Francisco,94122,San Francisco
Imperial,92251,Imperial
Coachella,92253,Riverside
Big Sur,93920,Monterey
Lucerne,95458,Lake
Fresno,93704,Fresno
Oak Hills,92405,San Bernardino
Littlerock,93550,Los Angeles
Sonoma,95476,Sonoma
Maywood,90270,Los Angeles
Livingston,95334,Merced
Sacramento,95817,Sacramento
Atascadero,93446,San Luis Obispo
Lake Sherwood,91361,Ventura
Rancho Cucamonga,91764,San Bernardino
Palo Alto,94303,Santa Clara
Tarzana,91316,Los Angeles
Mt Baldy,91759,San Bernardino
Upland,91748,San Bernardino
Ortega Mountain,92562,Riverside
Palo Alto,94304,Santa Clara
Forestville,95436,Sonoma
Vallejo,94592,Solano
Wishon,93669,Madera
San Diego,92121,San Diego
Mecca,92254,Riverside
Clairemont Mesa,92117,San Diego
Linda Vista,92111,San Diego
Taft,93268,Kern
View Park,90008,Los Angeles
Danville,94588,Contra Costa
Windsor Hills,90043,Los Angeles
Windsor,95492,Sonoma
Granada Hills,91342,Los Angeles
Menifee,92548,Riverside
Los Gatos,95033,Santa Clara
Fresno,93701,Fresno
Wasco,93280,Kern
Santa Barbara,93111,Santa Barbara
Placerville,95667,El Dorado
Gustine,95322,Merced
Pasadena,91108,Los Angeles
Willits,95490,Mendocino
Petaluma,94954,Sonoma
La Canada Flintridge,91011,Other
Modesto,95354,Stanislaus
Escalon,95320,San Joaquin
Caruthers,93609,Fresno
Campbell,95128,Santa Clara
North Highlands,95660,Sacramento
Mar Vista,90066,Los Angeles
Corona,92880,Riverside
Los Alamos,93440,Santa Barbara
Valley Village,91601,Los Angeles
Gonzales,93926,Monterey
Little River,95456,Mendocino
Mount Laguna,91948,San Diego
Aromas,95004,San Benito
Catheys Valley,95306,Mariposa
Denair,95316,Stanislaus
Livermore,94550,Contra Costa
Los Angeles,91042,Los Angeles
Point Loma,92106,San Diego
Elk Grove,95757,Sacramento
Los Angeles,91306,Los Angeles
Perris,92595,Riverside
Linden,95236,San Joaquin
Pomona,91767,San Bernardino
Sacramento,95818,Sacramento
Yucaipa,92339,San Bernardino
Canoga Park,91306,Los Angeles
Davis,95616,Yolo
Mojave,93501,Kern
Nevada City,95959,Nevada
San Juan Bautista,95045,San Benito
Butte Valley,95965,Butte
Woodland,95776,Yolo
Pine Mountain Club,93225,Kern
Valley Center,92061,San Diego
Joshua Tree,92284,San Bernardino
Oregon House,95962,Yuba
Rialto,20205,San Bernardino
Tulare,93274,Tulare
Farmersville,93223,Tulare
Butte Meadows,95942,Butte
San Francisco,94127,San Francisco
Wilton,95693,Sacramento
Hollywood,90028,Los Angeles
Devore,92407,San Bernardino
Arrowbear,92308,San Bernardino
Torrance,90277,Los Angeles
Kerman,93630,Fresno
Ripon,95366,San Joaquin
Surfside,90740,Orange
East Los Angeles,90023,Los Angeles
Scripps Miramar,92131,San Diego
Mission Viejo,92688,Orange
Santa Clarita,91390,Los Angeles
San Diego,91977,San Diego
Weed,96094,Siskiyou
Hornbrook,96044,Siskiyou
Winchester,92530,Riverside
Albion,95410,Mendocino
Palm Springs,92258,Riverside
Edwards,93523,Kern
Alta Loma,91737,San Bernardino
Los Angeles,90744,Los Angeles
Citrus Heights,95610,Sacramento
Fawnskin,92333,San Bernardino
Bradley,93426,Monterey
Rancho Cordova,95670,Sacramento
Malibu,90265,Ventura
Granada Hills,91343,Los Angeles
Perris,92590,Riverside
Thousand Oaks,93021,Ventura
Santa Ysabel,92070,San Diego
Riverbank,95367,Stanislaus
Los Angeles,90019,Other
Laguna Beach,92629,Orange
Pacoima,91739,Los Angeles
Los Angeles,91326,Los Angeles
La Mesa,91977,San Diego
Tustin,92705,Orange
Mt Baldy,91759,Los Angeles
Maxwell,95955,Colusa
Los Angeles,91040,Los Angeles
Modesto,95356,Stanislaus
Berry Creek,95973,Butte
Le Grand,95333,Merced
Yuba City,95993,Sutter
Merced,93635,Merced
Elk Grove,95624,Sacramento
Groveland,95321,Tuolumne
San Andreas,95249,Calaveras
Modesto,95358,Stanislaus
Pauma Valley,92061,San Diego
Arcadia,91106,Los Angeles
Palermo,95968,Butte
San Diego,92015,San Diego
Other,32909,Other
Riverside,92517,Riverside
Weaverville,96093,Trinity
Glen Ellen,95442,Sonoma
Juniper Hills,93543,Los Angeles
Cypress,90630,Los Angeles
Wofford Heights,93285,Kern
Knightsen,94548,Contra Costa
Lake Arrowhead,92391,San Bernardino
Pescadero,94060,San Mateo
Chester,96020,Plumas
Pine Cove,92549,Riverside
Nuevo/Lakeview,92567,Riverside
San Gabriel,91766,Los Angeles
Riverdale,93656,Fresno
Van Nuys,91406,Other
Reedley,93654,Fresno
California City,93501,Kern
Logan Heights,92113,San Diego
Corning,90621,Tehama
Bangor,95901,Butte
Oro Grande,92368,San Bernardino
Boulevard,91905,San Diego
El Mirage,92301,San Bernardino
Trinity Center,96091,Trinity
Venice,90292,Los Angeles
Ontario,91766,San Bernardino
Los Angeles,91304,Los Angeles
Phelan,92372,San Bernardino
San Rafael,94901,Marin
Lockwood,93932,Monterey
Douglas City,96024,Trinity
Green Valley,91390,Los Angeles
Orangevale,95662,Sacramento
Los Angeles,90058,Los Angeles
Chualar,93925,Monterey
Nord,95973,Butte
Ortega Mountain,92563,Riverside
Sanger,93657,Fresno
Maricopa,93252,Kern
Hollywood,90068,Los Angeles
Redondo Beach,90278,Other
Leona Valley,91350,Los Angeles
Unincorporated,92019,San Diego
Diablo,94528,Contra Costa
Mission Hills (San Fernando),91345,Los Angeles
Sun City,92586,Riverside
Highland,92405,San Bernardino
Altadena,91104,Los Angeles
Salida,95368,Stanislaus
Petaluma,94952,Sonoma
Potrero,91963,San Diego
Aliso Viejo,92694,Orange
Los Angeles,91325,Los Angeles
Cloverdale,95425,Sonoma
Orange,92651,Orange
San Francisco,94133,San Francisco
Westwood - Century City,90024,Los Angeles
Artesia,90703,Los Angeles
Byron,94514,Other
University City,92122,San Diego
Pomona,91768,San Bernardino
Echo Park,90026,Los Angeles
Rancho Murieta,95683,Sacramento
Lucerne Valley,92307,San Bernardino
Outside Area (Outside Ca),37604,Other State
Citrus Heights,95621,Sacramento
Northridge,91335,Los Angeles
Sacramento,95822,Sacramento
Walnut Park,91789,Los Angeles
Lake Arrowhead,92325,San Bernardino
Sacramento,95815,Sacramento
Colusa,95932,Colusa
Yucaipa,92399,Riverside
La Mirada,90638,Orange
Keyes,95328,Stanislaus
Snelling,95369,Merced
West Toluca Lake,91602,Los Angeles
Temple City,91750,Los Angeles
Yucca Valley,92285,San Bernardino
Mount Washington,90065,Los Angeles
Rancho Bernardo (San Diego),92128,San Diego
Santa Rosa,95401,Sonoma
Cypress,90720,Orange
East San Diego,92105,San Diego
Victorville,92239,San Bernardino
Tracy,95391,San Joaquin
Hollywood,90029,Los Angeles
Escondido,92069,San Diego
Santa Rosa,95404,Sonoma
Martinez,94801,Contra Costa
Sacramento,95864,Sacramento
Arvin,93203,Kern
Beaumont,92320,Riverside
Downey,90241,Other
Colton,92324,Riverside
Fresno,93675,Fresno
Irwindale,91706,Los Angeles
Anaheim,92831,Orange
Silver Lake,90026,Los Angeles
Mira Mesa,92126,San Diego
Morro Bay,93422,San Luis Obispo
Santa Barbara,93103,Santa Barbara
Twin Peaks,92325,San Bernardino
Unincorporated,93536,Los Angeles
Clovis,93730,Fresno
Hughson,95326,Stanislaus
Paso Robles,93447,San Luis Obispo
Firebaugh,93622,Fresno
Highland,92410,San Bernardino
West Hills,91304,Ventura
Apple Valley,92345,San Bernardino
Outside Area (Outside U.S.) Foreign Country,22880,Foreign Country
Outside Area (Outside Ca),22870,Other State
Newhall,91350,Los Angeles
Victorville,92325,San Bernardino
Rancho Cordova,95742,Sacramento
Shaver Lake,93664,Fresno
Orange,92667,Orange
Alpine,92019,San Diego
Westminster,92583,Orange
Browns Valley,95918,Yuba
Littlerock,90018,Los Angeles
San Bernardino,92386,San Bernardino
Friant,93626,Fresno
La Honda,94020,San Mateo
New Cuyama,93254,Santa Barbara
Santa Barbara,93109,Santa Barbara
Rainbow,92028,San Diego
Big Bear Lake,92314,San Bernardino
Apple Valley,92392,San Bernardino
Sage,92592,Riverside
Finley,95435,Lake
Santa Clarita,91387,Los Angeles
Somerset,95684,El Dorado
Phelan,92301,San Bernardino
Calistoga,94515,Napa
Lake Arrowhead,92532,San Bernardino
Riverside,92536,Riverside
Santa Barbara,93117,Santa Barbara
Prather,93651,Fresno
Lake Elsinore,92570,Riverside
Costa Mesa,92647,Orange
Imperial Beach,92025,San Diego
Anaheim,90041,Orange
Ontario,91709,San Bernardino
Commerce,90022,Los Angeles
Northridge,91326,Los Angeles
Silver Lake,90039,Los Angeles
Lawndale,90250,Los Angeles
Manhattan Beach,90260,Los Angeles
Newport Beach,92625,Orange
La Quinta,92234,Riverside
Reseda,91355,Los Angeles
Hemet,92454,Riverside
Fontana,92354,San Bernardino
Montebello,90660,Los Angeles
Santa Rosa,95403,Sonoma
Lake Elsinore,92592,Riverside
Point Loma,92107,San Diego
Sacramento,95827,Sacramento
Port Hueneme,93035,Ventura
Avenal,93204,Kings
Rancho Penasquitos,92129,San Diego
Los Altos Hills,94024,Santa Clara
Mission Hills,91345,Los Angeles
Riverside,92571,Riverside
Santa Ana,92705,Riverside
Pioneer,95666,Amador
Vallejo,94549,Solano
Valley Glen,91405,Los Angeles
Valley Springs,95252,Calaveras
Murrieta,92592,Riverside
Los Angeles,91406,Los Angeles
Modjeska Canyon,92676,Orange
Fowler,93625,Fresno
Fullerton,92870,Orange
Kennedy Meadows,93527,Tulare
Richmond,94840,Contra Costa
Van Nuys,91306,Los Angeles
Outside Area (Outside Ca),89139,Nevada
San Diego,92020,San Diego
Kentfield,94904,Marin
Redding,96002,Shasta
Romoland,92585,Riverside
Chatsworth,91311,Ventura
Bear Valley Springs,93561,Kern
Dinuba,93618,Tulare
Friant,93626,Madera
San Diego,92027,San Diego
Carnelian Bay,96140,Placer
Los Angeles,91342,Los Angeles
Sacramento,94838,Sacramento
Jamestown,95327,Tuolumne
Agua Dulce,91350,Los Angeles
Hemet,92583,Riverside
Davis,95618,Yolo
Moreno Valley,92251,Riverside
Auburn,95603,Placer
Pinon Hills,92371,San Bernardino
La Grange,95329,Mariposa
Corte Madera,94925,Marin
Cameron Park,95682,El Dorado
Santa Clarita,91351,Los Angeles
Calimesa,92373,Riverside
Gualala,95445,Mendocino
Westwood,90064,Los Angeles
Richvale,95974,Butte
Silver Lake,90027,Los Angeles
Montclair,91786,San Bernardino
Desert Hot Springs,92440,Riverside
Lockwood,93426,Monterey
Littlerock,90063,Los Angeles
Lake Elsinore,92507,Riverside
Victorville,92371,San Bernardino
Silverado Canyon,92679,Orange
Reseda Ranch,91335,Los Angeles
Sacramento,95842,Sacramento
Riverside,92567,Riverside
Lakeport,95451,Lake
Cedar Glen,92407,San Bernardino
Midpines,95345,Mariposa
Redlands,92373,Riverside
Los Alamitos,90815,Orange
Pollock Pines,95726,El Dorado
Chino Hills,91709,Los Angeles
Wheatland,95692,Yuba
Palm Springs,92240,Riverside
Whitewater,92223,Riverside
Manchester,95459,Mendocino
Ortega Mountain,92675,Riverside
El Mirage,92371,San Bernardino
Mountain Home Village,92359,San Bernardino
Angels Camp,95222,Calaveras
Woodcrest,92570,Riverside
Lake Isabella,92345,Kern
Oak Hills,92345,San Bernardino
Hollywood,90027,Los Angeles
Norwalk,90650,Orange
Mill Valley,94941,Marin
San Diego,91941,San Diego
Beaumont,92220,Riverside
Los Angeles,91345,Los Angeles
Chino,91710,Riverside
Hawthorne,90260,Los Angeles
Los Angeles,90292,Los Angeles
Del Rey Oaks,93940,Monterey
Los Alamitos,90808,Orange
Unincorporated,92127,San Diego
Lake Los Angeles,90019,Los Angeles
Spring Valley,92117,San Diego
San Diego,91942,San Diego
Pacifica,94122,San Mateo
Orcutt,93455,Santa Barbara
Exeter,93221,Tulare
Winchester,92569,Riverside
Riverside,92561,Riverside
Riverside,92570,Riverside
Pasadena,91105,Other
Tracy,94577,San Joaquin
Olivehurst,95961,Yuba
Sacramento,95381,Sacramento
Orland,95965,Glenn
Newcastle,95658,Placer
Corona,88888,Other
Cobb,95451,Lake
Canyon Country,91390,Los Angeles
Redlands,92359,San Bernardino
Twain Harte,95383,Tuolumne
Rancho Cucamonga,91786,San Bernardino
Selma,93662,Fresno
Oak Hills,92371,San Bernardino
Compton,90059,Los Angeles
Santa Monica,90403,Other
Yucaipa,92329,San Bernardino
Woodcrest,92503,Riverside
Sutter,95982,Sutter
Wawona,95389,Mariposa
Holtville,92250,Imperial
Castroville,95012,Monterey
Rancho Cucamonga,92399,San Bernardino
Santa Rosa,95407,Sonoma
Highland,92404,San Bernardino
Mentone,92374,San Bernardino
Montebello,90640,Other
Bakersfield,93215,Kern
Fawnskin,92314,San Bernardino
Anaheim,92618,Orange
Newport Beach,92657,Orange
North Tustin,92780,Orange
Janesville,96114,Lassen
Brownsville,95919,Yuba
Paso Robles,93466,San Luis Obispo
Rancho Palos Verdes,90275,Other
Valyermo,93563,Los Angeles
Big Bear,92386,San Bernardino
Crestline,92395,San Bernardino
La Grange,95329,Stanislaus
Diamond Springs,95619,El Dorado
Millville,96962,Shasta
Sage,92544,Riverside
Lake Arrowhead,92321,San Bernardino
Stevinson,95374,Merced
Greenville,95947,Plumas
Lake Almanor West,96020,Plumas
Otay Mesa,92154,San Diego
Los Angeles,90230,Los Angeles
Huntington Beach,92649,Los Angeles
Escondido,92029,Riverside
Simi Valley,93063,Los Angeles
Bishop,93514,Inyo
Galt,95632,Sacramento
Azusa,91107,Los Angeles
Greenbrae,94904,Marin
Garden Grove,92630,Orange
Kernville,93238,Kern
Los Angeles,90650,Los Angeles
St Helena,94574,Napa
Arrowbear,92314,San Bernardino
Llano,93591,Los Angeles
Los Angeles,90040,Los Angeles
Norwalk,90605,Los Angeles
Los Angeles,91504,Los Angeles
Canoga Park,91304,Ventura
Sunset Beach,92649,Orange
Newbury Park,91320,Los Angeles
El Cajon,91978,San Diego
Ontario,20536,San Bernardino
San Diego,91915,San Diego
San Carlos,92119,San Diego
Mission Viejo,92694,Orange
Other,86404,Other State
Trabuco Canyon,92676,Orange
Morongo Valley,92256,Riverside
Studio City,91406,Los Angeles
Pismo Beach,93446,San Luis Obispo
Ontario,91761,Riverside
Toluca Lake,91505,Los Angeles
San Diego,92009,San Diego
Rosemead,91776,Los Angeles
West Hollywood,90068,Los Angeles
Hemet,93544,Riverside
San Diego,92007,San Diego
Yountville,94599,Napa
Hawthorne,90250,Other
Lancaster,93543,Los Angeles
Mount Hermon,95041,Santa Cruz
Greenwood,95635,El Dorado
San Diego,92067,San Diego
Santa Clarita,91355,Los Angeles
Los Angeles,90222,Los Angeles
Laguna Niguel,92667,Orange
Fort Jones,96032,Siskiyou
Other,95493,Lake
Tujunga,91402,Los Angeles
Lewiston,96052,Trinity
Mariposa,95345,Mariposa
Landers,92284,San Bernardino
Sherman Oaks,91607,Los Angeles
East Los Angeles,90033,Los Angeles
Sierra Madre,91024,Other
Penn Valley,95946,Nevada
Palm Springs,92264,Los Angeles
Nipomo,93454,San Luis Obispo
Pacifica,94404,San Mateo
Beverly Hills,90212,Other
Other,90032,Los Angeles
Cazadero,95421,Sonoma
Woodland Hills,90077,Los Angeles
Winterhaven,92283,Imperial
Pinon Hills,92397,San Bernardino
Perris,92517,Riverside
Bakersfield,93285,Kern
Juniper Hills,93553,Los Angeles
Mendocino,95460,Other
Lancaster,93591,Los Angeles
Yucca Valley,92884,San Bernardino
San Marino,91775,Los Angeles
Woodland Hills,91307,Los Angeles
Novato,94949,Marin
Van Nuys,91402,Los Angeles
North Park (San Diego),92104,San Diego
Elk,95432,Mendocino
Hollywood,90036,Los Angeles
Ocean Beach (San Diego),92107,San Diego
San Diego,92024,San Diego
Empire,95319,Stanislaus
Fontana,92377,San Bernardino
Esparto,95627,Yolo
Waterford,95386,Stanislaus
Los Angeles,91776,Los Angeles
Rancho Bernardo (San Diego),92127,San Diego
Canyon Country,91321,Los Angeles
Riverside,90605,Riverside
Walnut Grove,95690,Sacramento
Yucca Valley,92284,Riverside
Helendale,92324,San Bernardino
Pasadena,91030,Los Angeles
West Covina,91710,Los Angeles
Montclair,91762,San Bernardino
Rialto,92316,San Bernardino
French Camp,95231,San Joaquin
Pasadena,91001,Los Angeles
Oakley,94513,Contra Costa
Yucca Valley,92252,San Bernardino
Los Angeles,90210,Los Angeles
Phelan,92392,San Bernardino
Alta Loma,91730,San Bernardino
Clearlake,95457,Lake
Glenn,95943,Glenn
Los Angeles,90291,Los Angeles
Acton,93550,Los Angeles
Alamo,94506,Contra Costa
Los Angeles,91405,Los Angeles
Planada,95365,Merced
Los Angeles,91403,Los Angeles
Rackerby,95972,Yuba
Montclair,92563,San Bernardino
Upper Lake,95493,Lake
Victorville,91710,San Bernardino
Bel Air,90049,Los Angeles
Westwood - Century City,90025,Los Angeles
Smartsville,95977,Yuba
Palmdale,93534,Los Angeles
Brentwood,94523,Contra Costa
Indio,92210,Riverside
Johnson Valley,92356,San Bernardino
Los Angeles,90026,Other
Middletown,95426,Lake
California City,94587,Kern
Outside Area (Outside U.S.) Foreign Country,22765,Foreign Country
Magalia,95965,Butte
Landers,92252,San Bernardino
